user_id,signup_date,cohort_month,country,device_type,traffic_source,email_verified,workspace_created,onboarding_completed,first_feature_used,feature_usage_count,total_sessions,login_frequency,avg_session_duration,subscription_type,plan_type,subscription_date,monthly_revenue,retention_days,last_login_date,churn_status,active_status
48,2026-03-03,2026-03,UK,Mobile,Direct,True,True,True,Calendar Integration,168,397,Weekly,39.14,Free,Free,,0,13,2025-11-28,Churned,Inactive User
49,2025-12-11,2025-12,Canada,Mobile,LinkedIn,False,False,False,,0,0,Rare,38.96,Free,Free,,0,221,2025-12-01,Churned,Inactive User
50,2026-01-04,2026-01,UK,Tablet,Email Campaign,True,True,True,Task Management,44,136,Daily,27.76,Free,Free,,0,148,2026-05-16,Active,Active User
51,2026-05-09,2026-05,UK,Tablet,Referral,True,False,False,,0,0,Rare,84.51,Premium,Basic,2026-07-01,30,115,2025-11-28,Churned,Inactive User
52,2025-10-08,2025-10,Australia,Desktop,LinkedIn,True,True,True,Task Management,22,370,Daily,34.23,Free,Free,,0,167,2026-01-22,Churned,Inactive User
53,2026-05-03,2026-05,Germany,Mobile,Google Ads,True,False,False,,0,0,Rare,6.1,Free,Free,,0,36,2026-03-27,Churned,Inactive User
54,2026-05-08,2026-05,Germany,Desktop,LinkedIn,True,True,True,Calendar Integration,179,441,Weekly,32.08,Free,Free,,0,329,2026-03-07,Churned,Inactive User
55,2026-03-25,2026-03,Germany,Desktop,Email Campaign,False,False,False,,0,0,Rare,36.46,Free,Free,,0,263,2026-04-24,Active,Active User
56,2025-12-07,2025-12,India,Mobile,Organic Search,False,False,False,,0,0,Rare,34.81,Premium,Basic,2026-01-29,30,359,2026-05-06,Active,Active User
57,2026-04-10,2026-04,UK,Desktop,Direct,True,True,True,Calendar Integration,183,461,Monthly,25.69,Free,Free,,0,329,2026-04-26,Active,Active User
58,2025-10-28,2025-10,UK,Mobile,Direct,True,True,True,Workflow Automation,196,121,Weekly,67.44,Premium,Pro,2025-11-08,10,14,2026-02-01,Churned,Inactive User
59,2025-05-31,2025-05,UK,Mobile,Organic Search,True,True,True,Task Management,134,79,Monthly,17.08,Free,Free,,0,258,2026-04-22,Active,Active User
60,2025-08-02,2025-08,Canada,Desktop,Email Campaign,False,False,False,,0,0,Rare,8.93,Free,Free,,0,296,2026-04-25,Active,Active User
61,2026-01-14,2026-01,USA,Tablet,LinkedIn,True,False,False,,0,0,Rare,55.68,Premium,Pro,2026-03-06,20,112,2026-05-18,Active,Active User
62,2025-09-14,2025-09,Australia,Tablet,Google Ads,True,True,False,,0,0,Rare,52.02,Premium,Pro,2025-10-25,30,2,2026-05-11,Active,Active User
63,2025-08-09,2025-08,UK,Tablet,Referral,True,True,True,Team Collaboration,72,218,Weekly,32.53,Free,Free,,0,285,2026-04-22,Active,Active User
64,2025-08-18,2025-08,Germany,Tablet,Direct,True,True,True,Calendar Integration,14,164,Weekly,12.6,Free,Free,,0,128,2026-05-08,Active,Active User
65,2025-06-08,2025-06,USA,Mobile,Direct,True,True,False,,0,0,Rare,6.59,Free,Free,,0,242,2026-05-05,Active,Active User
66,2026-04-28,2026-04,UK,Mobile,Referral,True,True,True,Calendar Integration,7,482,Monthly,40.89,Free,Free,,0,125,2026-05-10,Active,Active User
67,2025-08-12,2025-08,UK,Tablet,Direct,True,True,False,,0,0,Rare,85.14,Premium,Pro,2025-09-07,50,249,2025-12-16,Churned,Inactive User
68,2025-11-06,2025-11,Canada,Mobile,Referral,True,False,False,,0,0,Rare,35.03,Free,Free,,0,310,2026-04-24,Active,Active User
69,2025-11-27,2025-11,USA,Mobile,Direct,True,False,False,,0,0,Rare,39.35,Premium,Pro,2025-12-03,10,90,2025-12-14,Churned,Inactive User
70,2025-06-20,2025-06,USA,Tablet,Direct,True,True,False,,0,0,Rare,12.96,Free,Free,,0,52,2026-04-24,Active,Active User
71,2026-03-20,2026-03,USA,Mobile,Organic Search,True,True,True,Task Management,111,419,Weekly,40.67,Free,Free,,0,322,2026-05-20,Active,Active User
72,2025-05-31,2025-05,USA,Desktop,Email Campaign,True,True,True,Task Management,164,53,Weekly,44.17,Premium,Pro,2025-07-17,30,141,2026-05-08,Active,Active User
73,2025-06-29,2025-06,Germany,Tablet,Direct,True,True,True,Team Collaboration,157,59,Daily,35.92,Free,Free,,0,11,2026-03-18,Churned,Inactive User
74,2026-03-30,2026-03,USA,Mobile,Direct,True,True,False,,0,0,Rare,23.49,Free,Free,,0,49,2026-04-12,Churned,Inactive User
75,2025-08-13,2025-08,Germany,Mobile,LinkedIn,False,False,False,,0,0,Rare,41.52,Free,Free,,0,45,2026-05-10,Active,Active User
76,2025-10-06,2025-10,Canada,Desktop,Google Ads,True,True,False,,0,0,Rare,65.72,Premium,Enterprise,2025-10-28,20,256,2026-04-25,Active,Active User
77,2026-02-10,2026-02,Germany,Tablet,Organic Search,True,True,False,,0,0,Rare,12.85,Free,Free,,0,162,2026-05-07,Active,Active User
78,2026-03-22,2026-03,Germany,Desktop,Direct,True,True,True,Analytics Dashboard,76,422,Weekly,56.39,Premium,Pro,2026-05-06,30,315,2026-05-15,Active,Active User
79,2026-03-11,2026-03,Australia,Desktop,Google Ads,True,False,False,,0,0,Rare,34.65,Free,Free,,0,112,2025-12-28,Churned,Inactive User
80,2025-09-20,2025-09,Australia,Mobile,Email Campaign,True,True,True,Calendar Integration,148,110,Daily,43.8,Free,Free,,0,336,2026-05-16,Active,Active User
81,2025-06-17,2025-06,India,Desktop,Organic Search,False,False,False,,0,0,Rare,27.95,Free,Free,,0,244,2026-05-03,Active,Active User
82,2026-04-03,2026-04,Germany,Desktop,LinkedIn,True,True,True,Workflow Automation,192,191,Weekly,34.05,Free,Free,,0,320,2026-05-12,Active,Active User
83,2026-05-20,2026-05,Australia,Mobile,Direct,True,False,False,,0,0,Rare,20.81,Free,Free,,0,294,2026-05-19,Active,Active User
84,2026-01-28,2026-01,Germany,Tablet,Email Campaign,True,True,True,File Sharing,131,195,Daily,31.0,Free,Free,,0,305,2026-05-03,Active,Active User
85,2025-12-01,2025-12,Australia,Mobile,Organic Search,True,True,True,Calendar Integration,124,440,Weekly,43.56,Free,Free,,0,270,2026-03-16,Churned,Inactive User
86,2026-04-09,2026-04,Germany,Mobile,Google Ads,True,True,False,,0,0,Rare,9.89,Free,Free,,0,184,2026-01-21,Churned,Inactive User
87,2025-12-25,2025-12,USA,Mobile,Google Ads,True,False,False,,0,0,Rare,48.37,Premium,Enterprise,2026-02-17,50,105,2026-04-07,Churned,Inactive User
88,2025-09-01,2025-09,Germany,Tablet,Google Ads,True,True,True,Task Management,70,478,Daily,35.9,Free,Free,,0,152,2026-05-01,Active,Active User
89,2025-11-28,2025-11,USA,Desktop,Organic Search,True,True,False,,0,0,Rare,43.52,Free,Free,,0,175,2026-04-24,Active,Active User
90,2025-09-11,2025-09,Canada,Mobile,Direct,False,False,False,,0,0,Rare,20.41,Free,Free,,0,31,2026-05-18,Active,Active User
91,2025-12-31,2025-12,Canada,Mobile,Referral,True,True,True,Analytics Dashboard,80,454,Daily,37.95,Premium,Basic,2026-01-24,30,85,2026-05-18,Active,Active User
92,2026-05-15,2026-05,USA,Tablet,Google Ads,False,False,False,,0,0,Rare,5.37,Free,Free,,0,227,2026-04-29,Active,Active User
93,2025-07-21,2025-07,Canada,Desktop,LinkedIn,False,False,False,,0,0,Rare,88.37,Premium,Pro,2025-08-18,10,262,2026-03-13,Churned,Inactive User
94,2025-08-19,2025-08,India,Tablet,Email Campaign,True,True,True,Task Management,146,487,Monthly,15.47,Free,Free,,0,210,2026-05-02,Active,Active User
95,2025-05-28,2025-05,Australia,Tablet,Direct,True,True,True,Workflow Automation,86,489,Weekly,8.08,Free,Free,,0,191,2026-05-12,Active,Active User
96,2026-02-03,2026-02,UK,Desktop,Referral,True,True,True,Analytics Dashboard,89,338,Monthly,44.11,Free,Free,,0,355,2026-05-15,Active,Active User
97,2025-11-20,2025-11,India,Desktop,Referral,False,False,False,,0,0,Rare,27.64,Free,Free,,0,81,2025-12-14,Churned,Inactive User
98,2025-09-11,2025-09,Canada,Desktop,Google Ads,False,False,False,,0,0,Rare,21.16,Free,Free,,0,330,2026-02-24,Churned,Inactive User
99,2025-07-26,2025-07,Canada,Tablet,LinkedIn,True,True,True,File Sharing,124,191,Monthly,34.98,Free,Free,,0,243,2026-05-17,Active,Active User
100,2026-01-09,2026-01,Germany,Desktop,Email Campaign,True,False,False,,0,0,Rare,34.52,Free,Free,,0,308,2026-03-22,Churned,Inactive User
101,2026-01-27,2026-01,Australia,Mobile,Referral,True,False,False,,0,0,Rare,20.14,Free,Free,,0,317,2026-05-02,Active,Active User
102,2026-03-08,2026-03,India,Desktop,Direct,True,True,True,Analytics Dashboard,177,217,Daily,5.56,Free,Free,,0,141,2026-04-24,Active,Active User
103,2025-09-15,2025-09,India,Tablet,Referral,True,False,False,,0,0,Rare,32.07,Free,Free,,0,135,2026-03-03,Churned,Inactive User
104,2026-03-22,2026-03,Australia,Tablet,Direct,False,False,False,,0,0,Rare,43.22,Free,Free,,0,305,2026-05-21,Active,Active User
105,2025-08-29,2025-08,USA,Desktop,LinkedIn,True,True,True,Workflow Automation,52,261,Monthly,13.05,Free,Free,,0,203,2026-02-13,Churned,Inactive User
106,2025-10-19,2025-10,India,Desktop,Google Ads,True,True,True,Team Collaboration,29,300,Daily,26.46,Free,Free,,0,19,2026-02-26,Churned,Inactive User
107,2025-06-12,2025-06,UK,Mobile,Email Campaign,True,True,True,Team Collaboration,69,186,Monthly,42.62,Free,Free,,0,103,2026-02-03,Churned,Inactive User
108,2025-11-07,2025-11,Australia,Tablet,Google Ads,False,False,False,,0,0,Rare,14.56,Free,Free,,0,49,2025-12-04,Churned,Inactive User
109,2025-12-13,2025-12,Canada,Mobile,Google Ads,True,False,False,,0,0,Rare,16.73,Free,Free,,0,30,2026-05-16,Active,Active User
110,2026-01-22,2026-01,India,Tablet,Email Campaign,True,False,False,,0,0,Rare,31.3,Free,Free,,0,145,2026-04-13,Churned,Inactive User
111,2025-09-16,2025-09,India,Mobile,Organic Search,True,True,True,File Sharing,85,69,Weekly,27.06,Free,Free,,0,349,2026-04-22,Active,Active User
112,2025-12-08,2025-12,Canada,Desktop,Organic Search,True,False,False,,0,0,Rare,35.97,Free,Free,,0,276,2026-04-18,Churned,Inactive User
113,2026-04-22,2026-04,UK,Mobile,Organic Search,True,True,False,,0,0,Rare,18.2,Free,Free,,0,358,2025-12-24,Churned,Inactive User
114,2025-12-13,2025-12,Germany,Tablet,Direct,True,True,True,Analytics Dashboard,43,11,Monthly,18.15,Free,Free,,0,144,2026-04-26,Active,Active User
115,2026-01-16,2026-01,USA,Mobile,Referral,True,False,False,,0,0,Rare,32.1,Free,Free,,0,134,2026-04-27,Active,Active User
116,2025-07-21,2025-07,Canada,Mobile,Referral,True,True,True,Workflow Automation,68,361,Monthly,79.55,Premium,Basic,2025-09-13,20,218,2026-01-26,Churned,Inactive User
117,2025-11-16,2025-11,USA,Tablet,Referral,True,False,False,,0,0,Rare,27.93,Free,Free,,0,271,2026-05-21,Active,Active User
118,2026-03-31,2026-03,Canada,Mobile,Email Campaign,True,False,False,,0,0,Rare,30.58,Free,Free,,0,141,2026-05-17,Active,Active User
119,2025-08-21,2025-08,Australia,Tablet,Referral,True,True,True,Workflow Automation,158,315,Monthly,64.76,Premium,Pro,2025-09-11,20,170,2026-05-11,Active,Active User
120,2026-02-20,2026-02,Germany,Mobile,LinkedIn,True,True,False,,0,0,Rare,36.5,Free,Free,,0,205,2026-05-05,Active,Active User
121,2025-10-24,2025-10,Germany,Mobile,Google Ads,True,True,True,File Sharing,87,15,Monthly,41.57,Free,Free,,0,92,2026-05-17,Active,Active User
122,2025-07-22,2025-07,India,Tablet,Direct,True,False,False,,0,0,Rare,23.3,Free,Free,,0,105,2026-04-26,Active,Active User
123,2026-04-22,2026-04,India,Mobile,Direct,True,True,False,,0,0,Rare,20.47,Free,Free,,0,197,2026-04-30,Active,Active User
124,2025-07-23,2025-07,USA,Tablet,Google Ads,False,False,False,,0,0,Rare,35.31,Free,Free,,0,269,2026-04-29,Active,Active User
125,2026-01-17,2026-01,Germany,Mobile,Referral,True,False,False,,0,0,Rare,35.95,Free,Free,,0,284,2026-03-15,Churned,Inactive User
126,2026-04-19,2026-04,Australia,Mobile,Direct,True,True,True,Task Management,29,81,Monthly,51.4,Premium,Basic,2026-06-16,20,309,2026-05-13,Active,Active User
127,2025-08-27,2025-08,India,Desktop,LinkedIn,True,False,False,,0,0,Rare,38.94,Free,Free,,0,154,2026-05-07,Active,Active User
128,2025-11-27,2025-11,Australia,Tablet,Google Ads,True,True,True,Team Collaboration,131,496,Weekly,25.82,Free,Free,,0,162,2025-12-23,Churned,Inactive User
129,2026-03-08,2026-03,Canada,Tablet,Google Ads,True,True,True,File Sharing,111,329,Weekly,10.74,Free,Free,,0,110,2026-05-12,Active,Active User
130,2025-06-13,2025-06,USA,Mobile,Google Ads,False,False,False,,0,0,Rare,20.07,Free,Free,,0,192,2026-04-07,Churned,Inactive User
131,2025-08-05,2025-08,India,Desktop,Organic Search,True,False,False,,0,0,Rare,19.68,Free,Free,,0,78,2026-04-26,Active,Active User
132,2025-11-17,2025-11,Germany,Mobile,LinkedIn,True,False,False,,0,0,Rare,31.61,Premium,Basic,2025-11-28,20,216,2026-04-10,Churned,Inactive User
133,2025-06-10,2025-06,UK,Tablet,LinkedIn,True,True,False,,0,0,Rare,54.14,Premium,Pro,2025-07-17,20,197,2026-05-20,Active,Active User
134,2025-11-24,2025-11,Germany,Desktop,LinkedIn,True,True,True,Calendar Integration,18,197,Daily,28.15,Free,Free,,0,3,2026-05-13,Active,Active User
135,2025-06-04,2025-06,Canada,Mobile,LinkedIn,True,False,False,,0,0,Rare,36.76,Free,Free,,0,169,2026-05-02,Active,Active User
136,2025-10-17,2025-10,Germany,Desktop,Email Campaign,True,True,True,Calendar Integration,181,270,Weekly,37.14,Free,Free,,0,40,2025-12-14,Churned,Inactive User
137,2025-09-01,2025-09,India,Desktop,Referral,True,True,True,Analytics Dashboard,71,291,Monthly,71.09,Premium,Pro,2025-09-11,20,305,2026-04-30,Active,Active User
138,2025-08-20,2025-08,Germany,Tablet,Organic Search,True,False,False,,0,0,Rare,43.62,Free,Free,,0,2,2026-05-19,Active,Active User
139,2026-05-03,2026-05,USA,Desktop,Referral,False,False,False,,0,0,Rare,20.97,Free,Free,,0,56,2026-05-21,Active,Active User
140,2026-05-07,2026-05,Australia,Mobile,Direct,True,True,False,,0,0,Rare,9.89,Free,Free,,0,223,2026-05-06,Active,Active User
141,2025-08-28,2025-08,UK,Tablet,LinkedIn,True,True,False,,0,0,Rare,43.83,Free,Free,,0,116,2026-05-03,Active,Active User
142,2025-08-01,2025-08,Canada,Tablet,Organic Search,True,False,False,,0,0,Rare,7.29,Free,Free,,0,301,2026-04-30,Active,Active User
143,2026-04-17,2026-04,USA,Tablet,Google Ads,True,True,True,Analytics Dashboard,195,179,Daily,9.21,Free,Free,,0,73,2026-05-01,Active,Active User
144,2025-11-10,2025-11,UK,Desktop,Organic Search,True,False,False,,0,0,Rare,36.75,Free,Free,,0,344,2026-05-05,Active,Active User
145,2025-12-19,2025-12,Canada,Tablet,Email Campaign,True,True,True,Analytics Dashboard,175,103,Daily,16.83,Free,Free,,0,269,2026-02-24,Churned,Inactive User
146,2025-10-14,2025-10,India,Desktop,Referral,True,True,True,Task Management,108,190,Monthly,43.51,Free,Free,,0,291,2026-04-27,Active,Active User
147,2025-09-05,2025-09,UK,Desktop,Referral,True,False,False,,0,0,Rare,30.49,Free,Free,,0,360,2026-04-23,Active,Active User
148,2026-02-11,2026-02,USA,Desktop,Direct,True,False,False,,0,0,Rare,41.36,Premium,Basic,2026-02-25,10,196,2026-01-24,Churned,Inactive User
149,2025-10-13,2025-10,India,Mobile,Google Ads,True,True,False,,0,0,Rare,28.16,Free,Free,,0,249,2026-04-29,Active,Active User
150,2025-07-17,2025-07,Canada,Desktop,Referral,True,True,False,,0,0,Rare,27.6,Free,Free,,0,144,2026-05-06,Active,Active User
151,2026-05-05,2026-05,Canada,Desktop,Organic Search,True,True,True,Workflow Automation,15,453,Daily,35.38,Free,Free,,0,2,2026-05-20,Active,Active User
152,2025-09-26,2025-09,Australia,Desktop,Referral,True,True,True,Calendar Integration,105,140,Weekly,31.08,Premium,Enterprise,2025-09-29,10,194,2026-04-26,Active,Active User
153,2026-04-02,2026-04,Germany,Mobile,Referral,False,False,False,,0,0,Rare,64.74,Premium,Pro,2026-04-11,30,360,2026-05-19,Active,Active User
154,2025-10-31,2025-10,India,Desktop,Referral,True,False,False,,0,0,Rare,20.16,Free,Free,,0,241,2026-03-22,Churned,Inactive User
155,2025-11-01,2025-11,UK,Desktop,Organic Search,False,False,False,,0,0,Rare,10.98,Free,Free,,0,89,2026-05-06,Active,Active User
156,2025-08-12,2025-08,Canada,Tablet,Email Campaign,False,False,False,,0,0,Rare,31.19,Free,Free,,0,228,2026-05-02,Active,Active User
157,2025-05-27,2025-05,India,Mobile,Email Campaign,True,False,False,,0,0,Rare,31.89,Free,Free,,0,203,2025-12-08,Churned,Inactive User
158,2026-02-04,2026-02,Australia,Desktop,Referral,False,False,False,,0,0,Rare,10.38,Free,Free,,0,330,2026-05-09,Active,Active User
159,2025-09-14,2025-09,USA,Mobile,Organic Search,True,True,True,Calendar Integration,66,70,Monthly,81.46,Premium,Basic,2025-11-01,10,343,2026-05-21,Active,Active User
160,2025-12-05,2025-12,Canada,Mobile,LinkedIn,True,True,False,,0,0,Rare,36.36,Free,Free,,0,135,2026-05-04,Active,Active User
161,2025-09-02,2025-09,India,Mobile,Organic Search,True,True,True,Workflow Automation,36,125,Weekly,8.52,Free,Free,,0,47,2026-05-20,Active,Active User
162,2025-08-16,2025-08,Germany,Tablet,Email Campaign,False,False,False,,0,0,Rare,41.55,Free,Free,,0,176,2025-12-20,Churned,Inactive User
163,2026-03-15,2026-03,India,Mobile,Direct,False,False,False,,0,0,Rare,40.42,Free,Free,,0,71,2026-04-09,Churned,Inactive User
164,2026-03-04,2026-03,UK,Desktop,Email Campaign,True,False,False,,0,0,Rare,11.9,Free,Free,,0,8,2026-05-05,Active,Active User
165,2025-08-19,2025-08,India,Tablet,Google Ads,True,False,False,,0,0,Rare,88.36,Premium,Enterprise,2025-09-06,20,192,2026-05-13,Active,Active User
166,2026-04-07,2026-04,India,Tablet,LinkedIn,True,True,True,Workflow Automation,162,180,Weekly,25.03,Free,Free,,0,49,2026-05-08,Active,Active User
167,2025-05-28,2025-05,Germany,Mobile,Google Ads,True,True,True,File Sharing,134,77,Weekly,38.85,Free,Free,,0,240,2026-02-22,Churned,Inactive User
168,2025-09-26,2025-09,USA,Tablet,LinkedIn,True,True,True,File Sharing,147,170,Weekly,69.92,Premium,Basic,2025-09-30,50,69,2026-04-10,Churned,Inactive User
169,2025-07-26,2025-07,India,Mobile,Google Ads,True,True,True,Team Collaboration,39,120,Daily,24.01,Free,Free,,0,234,2026-05-17,Active,Active User
170,2026-03-28,2026-03,Australia,Tablet,Direct,True,True,True,Workflow Automation,99,226,Weekly,35.16,Free,Free,,0,304,2026-03-29,Churned,Inactive User
171,2025-12-12,2025-12,Australia,Tablet,Google Ads,True,True,True,Team Collaboration,159,394,Weekly,15.43,Free,Free,,0,6,2026-04-24,Active,Active User
172,2026-04-28,2026-04,USA,Tablet,Referral,True,False,False,,0,0,Rare,44.26,Free,Free,,0,181,2026-04-22,Active,Active User
173,2025-07-24,2025-07,Australia,Tablet,Organic Search,True,True,True,Workflow Automation,132,416,Daily,35.21,Free,Free,,0,156,2026-05-15,Active,Active User
174,2026-03-22,2026-03,USA,Mobile,Organic Search,True,False,False,,0,0,Rare,9.0,Free,Free,,0,30,2026-03-14,Churned,Inactive User
175,2025-07-09,2025-07,Germany,Mobile,Organic Search,True,False,False,,0,0,Rare,15.66,Free,Free,,0,45,2026-04-24,Active,Active User
176,2025-10-14,2025-10,Germany,Mobile,Direct,True,True,True,Task Management,103,338,Daily,29.73,Free,Free,,0,268,2026-04-24,Active,Active User
177,2025-10-24,2025-10,Australia,Desktop,Organic Search,True,True,True,Analytics Dashboard,29,496,Monthly,44.62,Free,Free,,0,345,2026-05-17,Active,Active User
